	participant_id	session_id	dice_bet_probability	darq_probability	darq_pass	dice_hd_bet_probability	mutual_info	correlation_ratio	norm_mi	correlation_coef	cr_l1
67	sub-OASIS10402	ses-M00	0.9059480528188324	0.0121512962505221	False	0.9113630239187837	0.8116021730494982	0.724695934496925	0.19019375682355633	0.46738391969445287	0.6110956395782746
68	sub-OASIS10406	ses-M00	0.9381349501996478	0.9996395111083984	True	0.9407891059500852	0.8505131572341812	0.8096556162664355	0.2056805108176485	0.6155843394013777	0.6934721654177411
69	sub-OASIS10413	ses-M00	0.933666715909684	0.8855546116828918	True	0.9349409245281518	0.8082038493391658	0.7791039895425478	0.1941381837098457	0.5717790213860817	0.6621812815685586
70	sub-OASIS10415	ses-M00	0.9392726100724698	0.9999818801879884	True	0.9501503110210692	0.8735857438011964	0.8360202679831455	0.20861388057423969	0.7196258672181818	0.704279969750884
71	sub-OASIS10420	ses-M00	0.942467010953678	0.9999799728393556	True	0.9502654297053188	0.8535534641237701	0.8153003882906049	0.20312922647971376	0.6892127867318285	0.6860808509938578
72	sub-OASIS10423	ses-M00	0.9044122745624844	0.9995858073234558	True	0.9287189008833348	0.8196183282148267	0.7625763793344381	0.19412408004409265	0.6062053711262827	0.6390283592549438
73	sub-OASIS10430	ses-M00	0.8638939551770561	0.9999737739562988	True	0.9124742651974288	0.7920412139011104	0.7434910589231505	0.19047724688314327	0.5475973116187894	0.6193596390821492
74	sub-OASIS10432	ses-M00	0.939864429169114	0.999979853630066	True	0.9510745902524284	0.8746663167662747	0.8041472026879397	0.20591302196610095	0.682278032348153	0.6719828536575514
75	sub-OASIS10435	ses-M00	0.9365567003394462	0.9995348453521729	True	0.9464248640195564	0.7571745270932178	0.7485374337191855	0.18628225332758763	0.6399995159046642	0.636038080944725
76	sub-OASIS10439	ses-M00	0.9303305438768192	0.9999796152114868	True	0.934442253296632	0.82310356953468	0.7994663287529118	0.1993174293301887	0.7225734384569238	0.6733734790479806
77	sub-OASIS10446	ses-M00	0.9331491761733124	0.9996219873428344	True	0.9357483675497776	0.8435945945520548	0.7744901816890218	0.19681068725753192	0.6314646933690078	0.6472424485001826
